,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Nilai Semester 4  - Machine Learning Ops,0.5631463907774367,-0.027459709190631395,0.08128696324349428,-0.36155955298174436,0.25388924727663714,-0.0790556529195807,-0.2226102022205522,-0.01204217639034343,0.31033544546693864,-0.017608247307016506,-0.03069204344788649
Nilai Semester 4  - Infrastruktur dan Manajemen Big Data,0.6753903900341546,-0.11129042185589093,-0.06896264790453477,-0.18587968936995442,-0.145372162196444,-0.05640595884401756,-0.3793857792832268,-0.3171605456429908,-0.14890971996520283,-0.015343902474952332,-0.004354535880912886
Nilai Semester 4  - Data Warehouse,0.5786714320824806,-0.3853464002530016,0.4559689854516099,0.2264184334821602,-0.15317533419713614,-0.22254037768005147,-0.10117460168734839,0.06777157938962687,-0.03147094306369031,-0.224536903790183,0.006660642642995851
Nilai Semester 4  - Praktikum Data Mining,0.7960088244569149,0.036427483318337,0.18847538991772167,0.366014477533382,-0.08353753748069373,-0.04524134860164748,0.032603211266163425,0.00827498002889724,0.0045180159456301786,-0.08501326219542218,-0.0668090149829422
Nilai Semester 4  - Praktikum Teknologi Web Service,0.7092086007012194,-0.1078487854992042,-0.09262683893747746,-0.37849669341791026,-0.016555889258939076,-0.10646459127457492,0.21158520081682805,-0.1798329755616602,-0.10736317367110683,-0.12086799394520524,0.07675700097640507
Nilai Semester 4  - Praktikum Machine Learning Ops,0.7240187768649468,-0.09405070914688231,-0.12012931515447563,0.005874910014575606,-0.09790026276468275,0.5536732817792143,0.05056992645050685,0.10585634585566576,0.07789248351373962,-0.12405422953793245,-0.05118551650662902
Nilai Semester 4  - Praktikum Infrastruktur dan Manajemen Big Data,0.251501862119193,-0.07683071208272547,0.6870499826259964,-0.07807098241351507,-0.13434614401779324,-0.04921638468836745,0.3782049429528228,-0.22807517145258366,-0.09999611045543488,0.0663992226067854,-0.02192068737678723
Nilai Semester 4  - Praktikum Data Warehouse,0.43581047216144353,0.24054017950451503,0.23393304583503485,0.0832156962939556,-0.42546487184972587,-0.31418076954673374,0.0599375738574628,-0.07109857682608978,-0.20417239330802098,0.3031377314445841,-0.07047355822218031
Nilai Semester 5  - Teknologi dan Tool Big Data,0.7067490423869539,-0.43240410105387944,0.20524470229470002,-0.2405991881635863,-0.013833584728221686,0.048103638894787,-0.04809521355590804,-0.0760441293154594,0.0856264651743435,0.022900902964478848,-0.00981916930824393
Nilai Semester 5  - Neuro Computing,0.39434475329118646,-0.5465245119309549,-0.18813535046814397,-0.4363313678217642,0.2692585259455701,0.09736366000089848,0.32514025780762906,0.14404477272412952,0.0391575065783195,-0.0038950213642419984,0.0726387131357657
Nilai Semester 5  - Workshop Analitika Data Terapan,0.677183319931899,-0.1425998831412721,0.39616003299389196,0.33373828587742027,-0.03733292415426281,0.08497653659561841,-0.24166497015617128,-0.19658753448258362,0.15443236387465348,-0.12583463529005617,-0.12206729240311401
Nilai Semester 5  - Workshop Analisis Sosial Media,0.4614855295210755,-0.5478311486397127,-0.02541087965018276,0.07601630099819619,-0.26638690259762093,-0.2213056596695842,-0.1256532989158326,0.23720643911361866,0.20040153683187006,-0.029796381408846172,-0.29740175261448154
Nilai Semester 5  - Ekonometrika Terapan,0.8405880082846593,-0.05308140978580001,0.209417080845199,0.39275884387776977,0.1520866762604779,0.04589711699726224,-0.09743162812109932,-0.07623113618755933,0.07445572338704926,0.019517880381964912,-0.03568744523199705
Nilai Semester 5  - Teknik Presentasi Data,0.4887431924376641,-0.01040379463167207,0.24467111883499768,0.4843886066832312,0.10744410243406823,-0.038329965943736784,-0.034872774338585766,0.0936345581733339,-0.2773195935856024,-0.14639323498216245,0.4837772209703743
Nilai Semester 5  - Technopreneur Sains Data,0.7615744146079493,-0.0951701364186824,-0.0021924854431076787,0.13509633994629303,-0.336203654219512,-0.027780274100006237,0.11476054073356713,-0.3568138647563373,-0.0548300504085913,-0.03281010836546782,0.052097244155869776
Nilai Semester 5  - Bahasa Inggris Teknik,0.619771545194098,0.32664879300554583,0.04460600063714007,-0.04245824642568294,-0.3275568361514681,0.3202097088978503,-0.07977923846206297,-0.04669905943179611,0.06345303760774101,0.17027091916742643,0.06148689209769349
